fiber_id head_id   ifu_x   ifu_y trace_row exclude_fiber
     226     226 -52.975 -18.358  1728.621             0
     227     227  50.103 -23.078  1736.325             0
     228     228  44.883 -23.078  1743.972             0
     229     229  39.563 -23.028  1751.513             0
     230     230  34.243 -23.078  1759.188             0
     231     231  28.948 -23.153  1766.716             0
     232     232  23.753 -23.078  1774.492             0
     233     233  18.333 -23.078  1782.145             0
     234     234  13.138 -23.003  1789.633             0
     235     235   7.768 -22.978  1797.429             0
     236     236   2.473 -23.028  1805.035             0
     237     237  -2.922 -23.078  1812.573             0
     238     238  -7.942 -22.928  1820.166             0
     239     239 -13.338 -23.128   1827.92             0
     240     240 -18.657 -23.053  1835.525             0
     241     241 -24.077 -22.928  1843.174             0
     242     242 -29.447 -23.053  1850.667             0
     243     243 -34.593 -23.003  1858.437             0
     244     244 -39.813 -22.978  1866.169             0
     245     245 -45.208 -23.003  1873.585             0
     246     246 -50.528 -23.028  1881.226             0
     247     247  52.676 -27.724  1888.873             0
     248     248  47.431 -27.649  1896.571             0
     249     249  42.135 -27.724  1904.048             0
     250     250  36.891 -27.549  1911.659             0
     251     251  31.746 -27.649  1919.216             0
     252     252  26.251 -27.649  1927.014             0
     253     253  20.931 -27.574  1934.659             0
     254     254  15.835 -27.524  1942.074             0
     255     255  10.365 -27.749  1949.756             0
     256     256    5.17 -27.574  1957.512             0
     257     257   -0.25 -27.599  1964.843             0
     258     258  -5.395 -27.624  1972.563             0
     259     259 -10.765 -27.599  1980.338             0
     260     260 -16.135 -27.524  1987.952             0
     261     261 -21.305 -27.524  1995.329             0
     262     262   -26.7 -27.624  2003.144             0
     263     263 -32.045 -27.549  2010.633             0
     264     264  -37.24 -27.574  2018.404             0
     265     265  -42.61 -27.549  2026.116             0
     266     266 -48.005 -27.499  2033.541             0
     267     267  -53.35 -27.524  2041.121             0
