fiber_id head_id    ifu_x   ifu_y trace_row exclude_fiber
    43.0    43.0  46.4293  37.116   347.323           0.0
    44.0    44.0 -50.0008   30.93   363.259           0.0
    45.0    45.0 -42.8579   30.93   371.162           0.0
    46.0    46.0 -35.7149   30.93   379.103           0.0
    47.0    47.0 -28.5719   30.93   387.014           0.0
    48.0    48.0 -21.4289   30.93   394.995           0.0
    49.0    49.0  -14.286   30.93    402.97           0.0
    50.0    50.0 -7.14298   30.93    410.99           0.0
    51.0    51.0      0.0   30.93   418.907           0.0
    52.0    52.0  7.14298   30.93   426.883           0.0
    53.0    53.0   14.286   30.93   434.807           0.0
    54.0    54.0  21.4289   30.93   442.734           0.0
    55.0    55.0  28.5719   30.93    450.61           0.0
    56.0    56.0  35.7149   30.93   458.542           0.0
    57.0    57.0  42.8579   30.93   466.744           0.0
    58.0    58.0  50.0008   30.93   474.368           0.0
    59.0    59.0 -46.4293  24.744   482.528           0.0
    60.0    60.0 -39.2864  24.744   490.097           0.0
    61.0    61.0 -32.1434  24.744     498.2           0.0
    62.0    62.0 -25.0004  24.744   506.157           0.0
    63.0    63.0 -17.8574  24.744   514.079           0.0
    64.0    64.0 -10.7145  24.744   521.894           0.0
    65.0    65.0 -3.57149  24.744   529.699           0.0
    66.0    66.0  3.57149  24.744   537.712           0.0
    67.0    67.0  10.7145  24.744   545.584           0.0
    68.0    68.0  17.8574  24.744   553.538           0.0
    69.0    69.0  25.0004  24.744   561.474           0.0
    70.0    70.0  32.1434  24.744   569.386           0.0
    71.0    71.0  39.2864  24.744   577.392           0.0
    72.0    72.0  46.4293  24.744   585.134           0.0
    73.0    73.0 -50.0008  18.558   600.937           0.0
    74.0    74.0 -42.8579  18.558   608.849           0.0
    75.0    75.0 -35.7149  18.558   616.677           0.0
    76.0    76.0 -28.5719  18.558   624.677           0.0
    77.0    77.0 -21.4289  18.558   632.593           0.0
    78.0    78.0  -14.286  18.558   640.518           0.0
    79.0    79.0 -7.14298  18.558   648.286           0.0
    80.0    80.0      0.0  18.558   656.172           0.0
    81.0    81.0  7.14298  18.558   664.363           0.0
    82.0    82.0   14.286  18.558   671.966           0.0
    83.0    83.0  21.4289  18.558   679.977           0.0
    84.0    84.0  28.5719  18.558   687.844           0.0
    85.0    85.0  35.7149  18.558   695.636           0.0
    86.0    86.0  42.8579  18.558   703.434           0.0
    87.0    87.0  50.0008  18.558   711.474           0.0
    88.0    88.0 -46.4293  12.372   719.399           0.0
    89.0    89.0 -39.2864  12.372   727.214           0.0
    90.0    90.0 -32.1434  12.372   735.013           0.0
    91.0    91.0 -25.0004  12.372   742.974           0.0
    92.0    92.0 -17.8574  12.372   750.822           0.0
    93.0    93.0 -10.7145  12.372   758.743           0.0
    94.0    94.0 -3.57149  12.372    766.67           0.0
    95.0    95.0  3.57149  12.372   774.375           0.0
    96.0    96.0  10.7145  12.372   782.327           0.0
    97.0    97.0  17.8574  12.372   790.195           0.0
    98.0    98.0  25.0004  12.372   798.077           0.0
    99.0    99.0  32.1434  12.372   805.987           0.0
   100.0   100.0  39.2864  12.372   813.766           0.0
   101.0   101.0  46.4293  12.372   821.733           0.0
   102.0   102.0 -50.0008   6.186   837.441           0.0
   103.0   103.0 -42.8579   6.186   845.458           0.0
   104.0   104.0 -35.7149   6.186   853.251           0.0
   105.0   105.0 -28.5719   6.186   861.145           0.0
   106.0   106.0 -21.4289   6.186   868.954           0.0
   107.0   107.0  -14.286   6.186   876.878           0.0
   108.0   108.0 -7.14298   6.186   884.638           0.0
   109.0   109.0      0.0   6.186   892.503           0.0
   110.0   110.0  7.14298   6.186   900.236           0.0
   111.0   111.0   14.286   6.186   908.111           0.0
   112.0   112.0  21.4289   6.186   916.242           0.0
   113.0   113.0  28.5719   6.186   924.052           0.0
   114.0   114.0  35.7149   6.186    932.04           0.0
   115.0   115.0  42.8579   6.186   939.856           0.0
   116.0   116.0  50.0008   6.186   947.767           0.0
   117.0   117.0 -46.4293     0.0    955.77           0.0
   118.0   118.0 -39.2864     0.0   963.452           0.0
   119.0   119.0 -32.1434     0.0     971.4           0.0
   120.0   120.0 -25.0004     0.0   979.231           0.0
   121.0   121.0 -17.8574     0.0   987.157           0.0
   122.0   122.0 -10.7145     0.0   995.037           0.0
   123.0   123.0 -3.57149     0.0  1002.965           0.0
   124.0   124.0  3.57149     0.0  1018.394           0.0
   125.0   125.0  10.7145     0.0  1026.354           0.0
   126.0   126.0  17.8574     0.0  1034.048           0.0
   127.0   127.0  25.0004     0.0  1042.068           0.0
   128.0   128.0  32.1434     0.0  1049.969           0.0
   129.0   129.0  39.2864     0.0  1057.869           0.0
   130.0   130.0  46.4293     0.0  1065.495           0.0
   131.0   131.0 -50.0008  -6.186  1073.505           0.0
   132.0   132.0 -42.8579  -6.186  1081.452           0.0
   133.0   133.0 -35.7149  -6.186  1089.397           0.0
   134.0   134.0 -28.5719  -6.186  1097.192           0.0
   135.0   135.0 -21.4289  -6.186  1105.129           0.0
   136.0   136.0  -14.286  -6.186  1113.143           0.0
   137.0   137.0 -7.14298  -6.186  1120.999           0.0
   138.0   138.0      0.0  -6.186  1128.731           0.0
